# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Andhra Pradesh,2001,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Arunachal Pradesh,2001,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Assam,2001,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Bihar,2001,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Chandigarh,2001,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Chhattisgarh,2001,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Gujarat,2001,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Haryana,2001,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Himachal Pradesh,2001,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Jammu & Kashmir,2001,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Jharkhand,2001,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Karnataka,2001,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Madhya Pradesh,2001,HR_Disappearance of Persons,01. Disappearance of Persons,2,2,NULL
Maharashtra,2001,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Meghalaya,2001,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Nagaland,2001,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Odisha,2001,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Uttar Pradesh,2001,HR_Disappearance of Persons,01. Disappearance of Persons,1,1,NULL
West Bengal,2001,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Andhra Pradesh,2002,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Assam,2002,HR_Disappearance of Persons,01. Disappearance of Persons,1,1,0
Bihar,2002,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Chandigarh,2002,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Chhattisgarh,2002,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Daman & Diu,2002,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Gujarat,2002,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Haryana,2002,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Himachal Pradesh,2002,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Jammu & Kashmir,2002,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Karnataka,2002,HR_Disappearance of Persons,01. Disappearance of Persons,1,0,0
Madhya Pradesh,2002,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Maharashtra,2002,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Meghalaya,2002,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Nagaland,2002,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Odisha,2002,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Punjab,2002,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Rajasthan,2002,HR_Disappearance of Persons,01. Disappearance of Persons,0,NULL,NULL
Tamil Nadu,2002,HR_Disappearance of Persons,01. Disappearance of Persons,3,3,NULL
West Bengal,2002,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Andhra Pradesh,2003,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Arunachal Pradesh,2003,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Assam,2003,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Bihar,2003,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Chandigarh,2003,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Chhattisgarh,2003,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Daman & Diu,2003,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Gujarat,2003,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Haryana,2003,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Himachal Pradesh,2003,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Jammu & Kashmir,2003,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Karnataka,2003,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Maharashtra,2003,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Meghalaya,2003,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Nagaland,2003,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Odisha,2003,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Punjab,2003,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
West Bengal,2003,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Andhra Pradesh,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Arunachal Pradesh,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Bihar,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Chhattisgarh,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Gujarat,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Himachal Pradesh,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Jammu & Kashmir,2004,HR_Disappearance of Persons,01. Disappearance of Persons,1,NULL,NULL
Karnataka,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Madhya Pradesh,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Maharashtra,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Manipur,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Meghalaya,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Mizoram,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Nagaland,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Odisha,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Punjab,2004,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
